1	18.0	0.0	1
2	18.0	0.0	1
3	18.0	0.0	1
4	18.0	0.0	1
5	18.0	0.0	1
6	18.0	0.0	1
7	18.0	0.0	1
8	18.0	0.0	1
9	18.0	0.0	1
10	18.0	0.0	1
11	18.0	0.0	1
12	18.0	0.0	1
13	18.0	0.0	1
14	18.0	0.0	1
15	18.0	0.0	1
16	18.0	0.0	1
17	18.0	0.0	1
18	18.0	0.0	1
19	18.0	0.0	1
20	18.0	0.0	1
21	18.0	0.0	1
22	18.0	0.0	1
23	18.0	0.0	1
24	18.0	0.0	1
25	18.0	0.0	1
26	18.0	0.0	1
27	18.0	0.0	1
28	18.0	0.0	1
29	18.0	0.0	1
30	18.0	0.0	1
31	18.0	0.0	1
32	18.0	0.0	1
33	18.0	0.0	1
34	18.0	0.0	1
35	18.0	0.0	1
36	18.0	0.0	1
37	18.0	0.0	1
38	18.0	0.0	1
39	18.0	0.0	1
40	18.0	0.0	1
41	18.0	0.0	1
42	18.0	0.0	1
43	18.0	0.0	1
44	18.0	0.0	1
45	18.0	0.0	1
46	18.0	0.0	1
47	18.0	0.0	1
48	18.0	0.0	1
49	18.0	0.0	1
50	18.0	0.0	1
