1	5.0	0.0	1
2	5.0	0.0	1
3	5.0	0.0	1
4	5.0	0.0	1
5	5.0	0.0	1
6	5.0	0.0	1
7	5.0	0.0	1
8	5.0	0.0	1
9	5.0	0.0	1
10	5.0	0.0	1
11	5.0	0.0	1
12	5.0	0.0	1
13	5.0	0.0	1
14	5.0	0.0	1
15	5.0	0.0	1
16	5.0	0.0	1
17	5.0	0.0	1
18	5.0	0.0	1
19	5.0	0.0	1
20	5.0	0.0	1
21	5.0	0.0	1
22	5.0	0.0	1
23	5.0	0.0	1
24	5.0	0.0	1
25	5.0	0.0	1
26	5.0	0.0	1
27	5.0	0.0	1
28	5.0	0.0	1
29	5.0	0.0	1
30	5.0	0.0	1
31	5.0	0.0	1
32	5.0	0.0	1
33	5.0	0.0	1
34	5.0	0.0	1
35	5.0	0.0	1
36	5.0	0.0	1
37	5.0	0.0	1
38	5.0	0.0	1
39	5.0	0.0	1
40	5.0	0.0	1
41	5.0	0.0	1
42	5.0	0.0	1
43	5.0	0.0	1
44	5.0	0.0	1
45	5.0	0.0	1
46	5.0	0.0	1
47	5.0	0.0	1
48	5.0	0.0	1
49	5.0	0.0	1
50	5.0	0.0	1
