1	3.0	0.0	1
2	3.0	0.0	1
3	3.0	0.0	1
4	3.0	0.0	1
5	3.0	0.0	1
6	3.0	0.0	1
7	3.0	0.0	1
8	3.0	0.0	1
9	3.0	0.0	1
10	3.0	0.0	1
11	3.0	0.0	1
12	3.0	0.0	1
13	3.0	0.0	1
14	3.0	0.0	1
15	3.0	0.0	1
16	3.0	0.0	1
17	3.0	0.0	1
18	3.0	0.0	1
19	3.0	0.0	1
20	3.0	0.0	1
21	3.0	0.0	1
22	3.0	0.0	1
23	3.0	0.0	1
24	3.0	0.0	1
25	3.0	0.0	1
26	3.0	0.0	1
27	3.0	0.0	1
28	3.0	0.0	1
29	3.0	0.0	1
30	3.0	0.0	1
31	3.0	0.0	1
32	3.0	0.0	1
33	3.0	0.0	1
34	3.0	0.0	1
35	3.0	0.0	1
36	3.0	0.0	1
37	3.0	0.0	1
38	3.0	0.0	1
39	3.0	0.0	1
40	3.0	0.0	1
41	3.0	0.0	1
42	3.0	0.0	1
43	3.0	0.0	1
44	3.0	0.0	1
45	3.0	0.0	1
46	3.0	0.0	1
47	3.0	0.0	1
48	3.0	0.0	1
49	3.0	0.0	1
50	3.0	0.0	1
